ID,chan_name
0,POL L12
1,POL L11
2,POL L10
3,POL L9
4,POL L8
5,POL L7
6,POL L6
7,POL L5
8,POL L4
9,POL L3
10,POL L2
11,POL L1
12,POL G2
13,POL G1
14,POL G3
15,POL G4
16,POL G5
17,POL G6
18,POL G7
19,POL G8
20,POL G9
21,POL G10
22,POL G11
23,POL G12
24,POL B10
25,POL B9
26,POL B8
27,POL B7
28,POL B6
29,POL B5
30,POL B4
31,POL B3
32,POL B2
33,POL B1
34,POL A9
35,POL A8
36,POL A7
37,POL A6
38,POL A5
39,POL A4
40,POL A3
41,EEG A2-Ref
42,EEG A1-Ref
43,POL E1
44,POL E2
45,POL E3
46,POL E4
47,POL E5
48,POL E6
49,POL E7
50,POL E8
51,POL E9
52,POL E10
53,POL E11
54,POL E12
55,POL E13
56,POL E14
57,POL A14
58,POL A13
59,POL A12
60,POL A11
61,POL A10
62,POL A15
63,POL A16
64,POL D10
65,POL D9
66,POL D8
67,POL D7
68,POL D6
69,POL D5
70,POL D4
71,POL D3
72,POL D2
73,POL D1
74,POL N1
75,POL N2
76,POL N3
77,POL N4
78,POL N5
79,POL N6
80,POL N7
81,POL N8
82,POL M13
83,POL M12
84,POL M11
85,POL M10
86,POL M9
87,POL M8
88,POL M7
89,POL M6
90,POL M5
91,POL M4
92,POL M3
93,EEG M2-Ref
94,EEG M1-Ref
95,POL H2
96,POL H1
97,POL H3
98,POL H4
99,POL H5
100,POL H6
101,POL H7
102,POL H8
103,POL H9
104,POL H10
105,POL H11
106,POL H12
107,POL H13
108,POL H14
109,POL M14
